appliance,primary,hostname,domain,vlan_ext_selfip,vlan_ext_selfmask,vlan_ext_float,vlan_ext,vlan_ext_tag,vlan_int_selfip,vlan_int_selfmask,vlan_int_float,vlan_int,vlan_int_tag,vlan_ha_selfip,vlan_ha_selfmask,vlan_ha,vlan_ha_tag,trunk,trunk_int_1,trunk_int_2,add_trust_ip,add_trust_host,dns_server_1,dns_server_2,ntp_server_1,ntp_server_2,syslog_server
10.255.111.23,yes,f5-5200-a.sandbox.wwtatc.local,.sandbox.wwtatc.local,20.20.20.5,/24,20.20.20.4,F5_EXT,3900,10.10.10.5,/24,10.10.10.4,F5_INT,3901,1.1.1.1,/30,F5_HA,666,PO40,1.1,1.2,10.255.111.24,f5-5200-b.sandbox.wwtatc.local,8.8.8.8,4.2.2.2,0.north-america.pool.ntp.org,1.north-america.pool.ntp.org,1.1.1.1
10.255.111.24,no,f5-5200-b.sandbox.wwtatc.local,.sandbox.wwtatc.local,20.20.20.6,/24,20.20.20.4,F5_EXT,3900,10.10.10.6,/24,10.10.10.4,F5_INT,3901,1.1.1.2,/30,F5_HA,666,PO40,1.1,1.2,,,8.8.8.8,4.2.2.2,0.north-america.pool.ntp.org,1.north-america.pool.ntp.org,1.1.1.1
